name_store;city_store;address_store;timestamp;article;barcode;name;drink_type;price;old_price;date_discount;available;weight;strenght;fatness;pack;country;brand;manufacturer;url;url_img
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:21:41.798843;111596;;Frapin VIP XO Grande Champagne 1er Grand Cru du Cognac;Коньяк;14490;14490;;True;;40;;1;Франция;Frapin;Frapin;https://simplewine.ru/catalog/product/frapin_frapin_vip_xo_grande_champagne_1er_grand_cru_du_cognac_035_gift_111596/;https://simplewine.ru/upload/iblock/63d/63daae3cdf68a0acc450e21f868e147a.jpg
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:21:43.122130;116871;;Онегин в подарочной упаковке;Водка;1740;1740;;True;;40;;1;Россия;Онегин;Онегин;https://simplewine.ru/catalog/product/onegin_v_podarochnoy_upakovke/;https://simplewine.ru/upload/iblock/55b/55b240735ac963704960ec1192f1888d.png
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:21:44.355136;102688;;Black Bottle;Виски;740;740;;True;;40;;1;Шотландия;Black Bottle;Black Bottle;https://simplewine.ru/catalog/product/burn_stewart_distillers_black_bottle_005_2/;https://simplewine.ru/upload/iblock/a73/a7310603425ebed73dca552d65d16405.png
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:21:45.782855;122728;;Deanston Aged 18 Years;Виски;26990;26990;;True;;46;;1;Шотландия;Deanston;Deanston;https://simplewine.ru/catalog/product/deanston_deanston_aged_18_years_07_1/;https://simplewine.ru/upload/iblock/a15/a150a9146bc934f17c9c0ee0f36a6d1e.png
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:21:47.060109;132182;;Writers' Tears Copper Pot;Виски;4140;4140;;True;;40;;1;Ирландия;Writers’ Tears;Writers’ Tears;https://simplewine.ru/catalog/product/writers_tears_writers_tears_copper_pot_07_gift_132182/;https://simplewine.ru/upload/iblock/8f2/8f28627f7dbc7c71fa94bd2b9fdf0b19.jpg
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:21:48.239130;132184;;Writers' Tears Red Head;Виски;6690;6690;;True;;46;;1;Ирландия;Writers’ Tears;Writers’ Tears;https://simplewine.ru/catalog/product/writers_tears_writers_tears_red_head_07_gift_132184/;https://simplewine.ru/upload/iblock/6d2/6d2bbb3f0b8ced52558bba794a7afaf4.png
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:21:49.671766;132185;;Writers' Tears Copper Pot;Виски;560;560;;True;;40;;1;Ирландия;Writers’ Tears;Writers’ Tears;https://simplewine.ru/catalog/product/writers_tears_writers_tears_copper_pot_005_132185/;https://simplewine.ru/upload/iblock/183/1836a61407d53c4c2d6e0332db36339c.jpg
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:21:51.100296;132186;;Writers’ Tears Marsala Cask Finish;Виски;9290;9290;;True;;45;;1;Ирландия;Writers’ Tears;Writers’ Tears;https://simplewine.ru/catalog/product/writers_tears_writers_tears_marsala_cask_finish_07_gift_132186/;https://simplewine.ru/upload/iblock/0bf/0bf3c927984231d09f033f39207e6ad0.jpg
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:21:52.541872;122544;;Quintessentia Amaro Nonino;Ликер;3290;3290;;True;;35;;1;Италия;Nonino;Nonino;https://simplewine.ru/catalog/product/quintessentia_amaro_nonino_05/;https://simplewine.ru/upload/iblock/cb0/cb08c27168b2a3f0436aa59be7941ba7.png
Винотека Wine & Whiskey by Simple (Обнинск);Обнинск;пр-кт.Ленина,дом137,корп.4,пом.7.;2022-02-12 16:21:54.074032;123773;;Царь Тигран 3 года выдержки;Бренди;990;990;;True;;40;;1;Армения;Царь Тигран;Царь Тигран;https://simplewine.ru/catalog/product/tsar_tigran_tsar_tigran_3_goda_vyderzhki_05/;https://simplewine.ru/upload/iblock/efc/efcdb9c22f2cfd1ac38286ffd65a18e2.png
